Entry,Make,Model,Body,Fit_age_a,Fit_age_b,Fit_age_c,Fit_age_R2,Fit_miles_a,Fit_miles_b,Fit_miles_c,Fit_miles_R2,Fit_age_cw_R2
27,Chevrolet,Tahoe,Sport Utility,49838.64225,0.116289986,1.67E-15,0.90747744,51240.20789,9.55E-06,7.67E-09,0.832182854,
28,Honda,Fit,Hatchback,17933.79269,0.120733121,2340.675739,0.936859773,14477.46383,1.67E-05,4599.909809,0.945200759,0.314714965
29,Ford,Fusion,Sedan,37475.35737,0.298663879,4797.5513,0.669304535,22886.05673,3.97E-05,7731.878313,0.825233928,
30,BMW,X5,Sport Utility,67468.19485,0.207982377,3115.896354,0.947513761,63462.68033,1.98E-05,3862.888128,0.941890137,0.925931397
31,Chevrolet,Corvette,Coupe,62691.76057,0.077667181,5.71E-17,0.702269857,45567.12703,2.75E-05,11530.13411,0.755232176,
32,Chevrolet,Camaro,Convertible,33526.11079,0.170825935,6346.928976,0.494996476,27810.06168,4.01E-05,12894.12085,0.686701317,
33,Honda,Pilot,Sport Utility,40071.22131,0.146714184,1985.361078,0.907872073,35999.22431,1.12E-05,2628.416977,0.945295437,0.522137182
34,Lexus,RX 350,Sport Utility,68400.71272,0.269386413,8276.672733,0.94097134,47819.98643,2.56E-05,10336.2852,0.944314933,
35,Mercedes-Benz,C 300,Sedan,38095.50104,0.165530246,3041.587181,0.899257757,36336.94118,1.93E-05,4449.135263,0.843951915,0.621665844
36,Honda,Odyssey,Van,40292.23412,0.134071771,1.63E-13,0.929231223,36909.54166,1.06E-05,2.07E-13,0.897068077,0.593340129
37,Volkswagen,Tiguan,Sport Utility,22771.94494,0.233007042,5583.161406,0.897553957,16497.8879,0.001181908,12963.7221,0.8253025,0.82471882
38,Ford,Escape,Sport Utility,26963.65592,0.142086303,1515.562674,0.677345296,22698.21013,2.49E-05,6360.13914,0.874700422,
39,Ford,Edge,Sport Utility,31265.98058,0.132128538,4.14E-10,0.549649606,30909.72568,2.18E-05,6443.131445,0.896073342,
40,GMC,Sierra 1500,Truck,47777.57289,0.11142678,1126.576912,0.777371168,35302.8778,6.20E-06,1.27E-05,0.495537737,-0.413091972
41,Nissan,Altima,Sedan,19037.2476,0.224133746,4343.413333,0.819359815,19708.40308,1.90E-05,4472.196521,0.831095343,0.704678782
42,MINI,Cooper,Coupe,25118.8668,0.169156053,3323.901907,0.88033379,24467.32528,2.92E-05,5346.068788,0.886894705,0.677979388
43,Volkswagen,Golf,Wagon,28936.41411,0.191499331,2422.934011,0.787392368,12243.02591,0.003,12951.91444,0.68350005,
44,Chevrolet,Suburban,Sport Utility,57217.20161,0.159359128,2846.271152,0.744118861,57895.73643,1.13E-05,9.85E-09,0.920587029,0.637809716
