Entry,Make,Model,Fit_age_a,Fit_age_b,Fit_age_c,Fit_age_R2,Fit_miles_a,Fit_miles_b,Fit_miles_c,Fit_miles_R2
83,Audi,Q7,57546.184109454734,0.144770418257997,4.480189641110498e-10,0.9291214298956987,59807.789417912565,1.4349026885913009e-05,1.2436502208505252e-06,0.8285984214085246
84,Hyundai,Sonata,21485.553293341043,0.15046186137068313,2125.0209665214866,0.7670733603867113,76382.42896202265,0.00035033505715444514,9987.58750568064,0.04198488919825716
85,Mercedes-Benz,S 550,91398.91563137494,0.1806177786638995,3925.7739434138684,0.894845240072462,105000.0,0.0014999907318744299,30077.22448978377,8.992806499463768e-15
86,GMC,Yukon XL,49587.98439944465,0.1255958916384756,4.034529148409445e-15,0.9366499033039377,59673.45136139101,1.1099046450291733e-05,3.009368687253055e-13,0.9374798378646456
87,Dodge,Grand Caravan,19720.25980678183,0.09375965160441088,4.876527072504144e-13,0.4699120573375637,105000.0,0.0014995236166205853,13780.770846126716,9.646172749455673e-12
88,Porsche,Boxster,55904.716838999455,0.07237743284749888,1.2604923650976013e-11,0.795031387158643,118417.54127486673,0.001337724966282278,24138.553060484905,0.005129025245879437
89,BMW,M340i,41720.49993558305,0.525,16695.00006466383,-0.10477951639918204,10000.000000000002,0.0010300998799594356,48301.579570503294,0.6201990670938144
90,Nissan,Maxima,30486.625165386744,0.17896432493490078,2303.2884259069347,0.6993724737603249,30192.03263847123,1.3603453176501979e-05,1109.5035382362573,0.8624033055845117
91,Mercedes-Benz,GLC 300,17113.095022656704,0.7377381003150865,26150.227443304764,0.5904912545869228,16150.504316448803,5.296253891297203e-05,26071.66372484707,0.6698517630711152
92,Acura,TL,34404.4291331859,0.15768524084515026,2996.709604573672,0.6995407660095146,105000.0,0.0014999900635800287,10236.063829776209,6.794564910705958e-14
93,INFINITI,Q50,20515.377422445894,0.1760529916760857,11549.47965759079,0.4320489349363269,19235.667264049585,0.0028541734291533207,23650.75554905157,0.059818264453805
94,Mitsubishi,Outlander Sport,20748.18862908602,0.10567024242656615,1.7876079065273645e-08,0.60788653414798,13969.734493367725,2.1069394857904946e-05,6994.558490431974,0.7025467144522133
95,Cadillac,CTS,46779.02610928007,0.09830880497618985,1.3462808468503199e-11,0.07191803251036799,52383.53692810303,1.0851447709390772e-05,3.247556210748395e-05,0.5727691728108226
96,INFINITI,G37,38851.222029191136,0.11313357252079903,2.0309574807510222e-08,0.39768035901433907,19576.861005155213,4.419522006732591e-06,0.00027177427985364266,0.25703062244194097
97,Toyota,Prius Prime,10000.000000000002,0.31511213731711757,20203.2626529608,0.22831914757415006,10000.000000000096,6.187594610156568e-05,20949.933296769526,0.44224438715969394
98,Porsche,Panamera,199999.99999999997,0.441430097100424,27300.384166927186,0.8162632615666636,105679.08659451299,5.0847022627565426e-05,28769.065242432054,0.8829126957020056
99,Chevrolet,Malibu,20028.018355491567,0.11776015767451725,1114.2309778703768,0.6941491210426862,20555.971399586542,1.6711625288475393e-05,3337.998841843359,0.8207558508273325
100,GMC,Sierra 2500,64526.542793137094,0.08657126896538919,2.404914327034345e-09,0.8089116939634222,133249.07212588657,0.0010470339692759036,27195.860464666755,0.23865643357776523
