index,Make,Model,Fit_age_a,Fit_age_b,Fit_age_R2,Body,Half life
61,Honda,Fit,19189.60799,0.092571716,0.911302324,Hatchback,7.487708243
29,Honda,Pilot,41373.43249,0.141460534,0.933033648,SUV,4.899953224
6,Honda,CR-V,31114.47429,0.116183972,0.924485007,SUV,5.965969223
4,Honda,Accord,28256.32064,0.121359917,0.868996908,Sedan,5.711523373
252,Honda,Element,32719.33151,0.101854011,0.324737318,SUV,6.805328463
84,Honda,HR-V,25177.62796,0.10046282,0.328288424,SUV,6.899567426
56,Hyundai,Elantra,16666.49303,0.104549136,0.781745299,Sedan,6.629896973
272,Hyundai,Genesis,49462.46506,0.196732635,0.709325451,Sedan,3.523309692
127,Hyundai,Tucson,21207.03069,0.105693186,0.855032143,SUV,6.558133291
197,Hyundai,Accent,14706.88995,0.107259051,0.82163284,Sedan,6.462391697
66,Hyundai,Santa Fe,24715.99043,0.117716266,0.634691025,SUV,5.888311132
50,Hyundai,Sonata,22156.07692,0.123256324,0.794683752,Sedan,5.62364652
251,Hyundai,Veloster,20305.97044,0.113484957,0.634143985,Hatchback,6.107857998
147,INFINITI,QX60,43549.46447,0.168788215,0.748718667,SUV,4.106625561
112,INFINITI,Q50,39733.76848,0.162892893,0.46601916,Sedan,4.255250104
141,INFINITI,G35,21604.05927,0.086851071,0.124103715,Sedan,7.980903281
227,INFINITI,FX35,46456.71991,0.134196375,0.736719463,SUV,5.165191691
111,INFINITI,G37,28400.12112,0.095367355,0.268449068,Sedan,7.268210421
222,INFINITI,QX56,59755.83109,0.144896882,0.745754438,SUV,4.783746832
233,INFINITI,QX50,42042.3603,0.182564109,0.859156683,SUV,3.796748452
229,INFINITI,QX80,64571.83024,0.163440234,0.462750686,SUV,4.240999808
248,Jaguar,XF,57936.82776,0.184836548,0.699991511,Sedan,3.750070043
280,Jaguar,F-PACE,54271.89926,0.13456506,0.317413168,SUV,5.15103994
75,Jeep,Compass,25195.28534,0.137383747,0.695842734,SUV,5.045356638
78,Jeep,Liberty,21597.62504,0.095534574,0.476347783,SUV,7.255488446
289,Jeep,Commander,32752.23096,0.129779012,0.056347491,SUV,5.341002302
1,Jeep,Wrangler,44775.41986,0.088013457,0.775658033,Convertible,7.87550018
159,Jeep,Patriot,21218.81241,0.113115253,0.623607829,SUV,6.127820779
5,Jeep,Grand Cherokee,46008.27556,0.145988177,0.691600902,SUV,4.747987219
71,Jeep,Cherokee,26404.16571,0.085018954,0.609599862,SUV,8.152887911
132,Jeep,Renegade,26999.0796,0.137638098,0.464919391,SUV,5.036032987
287,Kia,Rio,17496.39648,0.139269239,0.81362942,Sedan,4.977050249
184,Kia,Forte,22373.50372,0.160822556,0.827097792,Sedan,4.310029747
100,Kia,Sorento,30505.99878,0.146105383,0.7149306,SUV,4.744178383
116,Kia,Soul,18113.07381,0.117613016,0.665964163,Hatchback,5.893480337
284,Kia,Sedona,38368.80474,0.177154154,0.7600082,Van,3.912694018
72,Kia,Optima,21866.39925,0.116015403,0.56123759,Sedan,5.974637715
168,Kia,Sportage,24712.66171,0.12599426,0.759719798,SUV,5.501441118
257,Land Rover,Discovery Sport,47328.59395,0.148806057,0.674083861,SUV,4.658076522
91,Land Rover,Range Rover,114091.7651,0.182900455,0.919580447,SUV,3.789766414
81,Land Rover,Range Rover Sport,94519.98341,0.187195716,0.919191775,SUV,3.70280909
198,Land Rover,Range Rover Evoque,48103.00859,0.138016013,0.831013165,SUV,5.022243308
271,Lexus,CT 200h,27839.455,0.087935217,0.72626189,Hatchback,7.882507434
