Entry,Make,Model,Body,Fit_age_a,Fit_age_b,Fit_age_R2,Fit_miles_a,Fit_miles_b,Fit_miles_R2,Fit_age_cw_R2
94,Tesla,Model S,Sedan,96433.25368980419,0.13980812669967038,0.49923273346328056,70337.82917858954,8.779928785509631e-06,0.35996143127388114,
95,Audi,Q7,Sport Utility,68250.80668195763,0.18108021568405952,0.8991555559534444,58749.789411493286,1.4680175882456026e-05,0.7898568094614798,0.8221827951800257
96,Mercedes-Benz,ML 350,Sport Utility,45631.24164461336,0.14088300002914306,0.804314161426189,10000.000007380842,0.0015,-6.2255162893535445,
97,Audi,A6,Sedan,67021.37706583529,0.22844797555223953,0.9228697704305853,53490.56931212728,1.8872638380489887e-05,0.8227404479925086,0.9328461604592049
98,Porsche,Cayenne,Sport Utility,106121.1784253239,0.19729520613760476,0.8687549518842779,74447.52971069618,1.507800640011518e-05,0.7349161297084735,
99,Volkswagen,GTI,Hatchback,32253.79228913482,0.13397199185616418,0.8916112228131774,30580.705813894092,1.3237494910948685e-05,0.9013072553030693,0.5657501119514072
100,Mercedes-Benz,GLA 250,Sport Utility,41885.79277532789,0.16835428153102985,0.8739860903378253,41114.593409606874,1.876131632067796e-05,0.8265252602266082,0.7778904012627601
101,Kia,Sorento,Sport Utility,30505.9987769721,0.1461053830712771,0.7149305997829384,30198.728709718922,1.2227029319159744e-05,0.781961373583354,
102,Mercedes-Benz,CLA 250,Sedan,40842.91953404378,0.1770972115366192,0.8886278963552057,42587.15604381968,2.0586159115610874e-05,0.8108730663915087,0.9145256718655856
103,RAM,2500,Truck,60297.08292495889,0.10394304882256988,0.4844024561920014,51306.367338863674,5.683380067581795e-06,0.5189127147306972,-0.4283692107803825
104,Mercedes-Benz,GLE 350,Sport Utility,62917.88343808651,0.22101869461071347,0.9242456542444795,63157.23886961557,2.0823350656563513e-05,0.8924566190919688,0.8441654608797643
105,Ford,Taurus,Wagon,22558.823259481607,0.12901834629224312,0.7493928659988838,15185.876491506897,6.767052019653158e-06,0.25204470872196283,
106,Chevrolet,Traverse,Sport Utility,41476.16949369349,0.18177625726820784,0.8815844982134041,28152.23289552721,9.446854544419163e-06,0.5491213271261853,0.8246141496479932
107,Nissan,Versa,Hatchback,14790.923272471146,0.11902739406234908,0.7547752517884495,12893.564687699929,8.151060849138957e-06,0.6112648126056265,0.4219180746337384
108,BMW,X1,Sport Utility,42270.06124002083,0.18769214055737599,0.9300747471116946,38775.51766445114,1.7634575552339665e-05,0.8479978547002569,0.8315312328113039
109,BMW,330i,Sedan,43176.76754713882,0.15222640889008357,0.8987482310486559,45004.284084075174,2.2439155318750316e-05,0.8896934940213104,0.9086059693443197
110,Volkswagen,Atlas,Sport Utility,38454.036644819724,0.16232777585757904,-0.07194546880953134,37009.17340173308,1.2063721436520732e-05,0.5063303596411897,-1.3954164782203504
111,Volkswagen,Beetle,Hatchback,22799.6534765468,0.10417248553071859,0.7536814796983102,20969.893778805126,1.3166865294742165e-05,0.6428473478652512,
112,INFINITI,G37,Coupe,28400.121119134583,0.09536735452722095,0.2684490680175394,21598.689561823456,6.437112981710372e-06,0.5206519370983866,
113,INFINITI,Q50,Sedan,39733.76848347538,0.16289289303988186,0.46601915976670416,40874.805626043584,1.673323469070551e-05,0.6965774266794725,0.28730418476038533
114,GMC,Yukon XL,Sport Utility,55298.58023452187,0.13995669074625924,0.8667035661996961,44661.017947293236,8.563526693167533e-06,0.4872509403343078,0.6820650361960607
115,Dodge,Ram 2500 Truck,Truck,51504.22967791482,0.06955947884991234,0.19312832082450782,23445.949863141155,1.974086766289086e-06,0.10193991491243759,
116,Porsche,Panamera,Hatchback,183758.01001222976,0.25181499829093423,0.7524739374153262,119745.05123947606,2.3445787493694776e-05,0.7942155011708724,
117,Kia,Soul,Hatchback,18113.07381309445,0.11761301648588153,0.6659641633839124,18467.52373162703,1.0129672241695502e-05,0.7859742737396607,-0.008127363716350589
118,Lexus,IS 250,Sedan,37612.896993941125,0.11603115927952136,0.8420788085366825,25004.916880421362,7.38625262858965e-06,0.6064375260173228,
119,Lincoln,Continental,Sedan,93877.2078616482,0.05533783720053579,0.1959637622777024,108882.68653735031,1.547290165337547e-05,0.42418935939404456,
